date,open,high,low,close,adjusted close,volume,dividend amount,Ticker
8/30/2013,169.99,170.97,163.05,163.65,133.36,2279523923,0,SPY
7/31/2013,161.26,169.86,160.22,168.71,137.4834,2314233963,0,SPY
6/28/2013,163.83,165.99,155.73,160.42,130.7278,3522568591,0.8391,SPY
5/31/2013,159.33,169.07,158.1,163.45,132.498,2776278334,0,SPY
4/30/2013,156.59,159.72,153.55,159.68,129.4419,2901276707,0,SPY
3/28/2013,151.09,156.85,150.41,156.67,127.0019,2326952774,0.6937,SPY
2/28/2013,150.65,153.28,148.73,151.61,122.3554,2565517631,0,SPY
1/31/2013,145.11,150.94,144.73,149.7,120.814,2583855935,0,SPY
12/31/2012,142.8,145.58,139.54,142.41,114.9307,2884366197,1.0218,SPY
11/30/2012,141.65,143.72,134.7,142.15,113.9057,3027334368,0,SPY
10/31/2012,144.52,147.16,140.39,141.35,113.2647,2716359739,0,SPY
9/28/2012,141.04,148.11,140.13,143.97,115.3641,2388041836,0.7794,SPY
8/31/2012,138.7,143.09,135.58,141.16,112.5112,2410281680,0,SPY
7/31/2012,136.48,139.34,132.6,137.71,109.7614,2857498501,0,SPY
6/29/2012,129.41,136.27,127.14,136.1,108.4782,3640166489,0.6883,SPY
5/31/2012,139.79,141.66,129.55,131.47,104.2529,3998284713,0,SPY
4/30/2012,140.64,142.21,135.76,139.87,110.9139,3022691643,0,SPY
3/30/2012,137.31,141.83,134.36,140.81,111.6593,3051602568,0.6139,SPY
2/29/2012,132.29,138.19,132.13,137.02,108.1806,2887994942,0,SPY
1/31/2012,127.76,133.4,126.43,131.32,103.6803,2877125732,0,SPY
12/30/2011,124.85,127.26,120.03,125.5,99.0853,3835567090,0.7701,SPY
11/30/2011,122.03,128.02,116.2,124.99,98.0615,4994461652,0,SPY
10/31/2011,112.49,129.42,107.43,125.5,98.4616,5706349377,0,SPY
9/30/2011,122.29,123.4,111.3,113.15,88.7724,6173479911,0.625,SPY
8/31/2011,130.84,130.96,110.27,122.22,95.3977,9023719820,0,SPY
7/29/2011,132.09,135.7,127.97,129.33,100.9473,3830169325,0,SPY
6/30/2011,134.51,134.92,126.19,131.97,103.008,4675957703,0.6276,SPY
5/31/2011,137.07,137.18,131.38,134.9,104.7773,3333953417,0,SPY
4/29/2011,133.41,136.57,129.51,136.43,105.9657,2811243192,0,SPY
3/31/2011,133.57,133.69,125.28,132.59,102.9832,4776136726,0.5533,SPY
2/28/2011,129.46,134.69,129.38,133.15,102.9721,2815864041,0,SPY
1/31/2011,126.71,130.35,125.7,128.68,99.5153,2857000899,0,SPY
12/31/2010,120.2,126.2,120.19,125.75,97.2493,2718639268,0.6528,SPY
11/30/2010,119.07,122.95,117.59,118.49,91.1561,3978049158,0,SPY
10/29/2010,114.99,119.76,113.18,118.49,91.1561,3763467063,0,SPY
9/30/2010,106.73,115.79,106.66,114.13,87.8019,4042638784,0.6021,SPY
8/31/2010,111.99,113.18,104.29,105.31,80.5851,4536956409,0,SPY
7/30/2010,103.15,112.29,101.13,110.27,84.3806,4717472942,0,SPY
6/30/2010,108.35,113.2,102.88,103.22,78.9858,5696350357,0.5313,SPY
5/28/2010,119.38,120.68,104.38,109.37,83.2959,7402768337,0,SPY
4/30/2010,117.8,122.12,117.1,118.81,90.4853,4004277783,0,SPY
3/31/2010,111.2,118.17,111.17,117,89.1068,3699245612,0.4804,SPY
2/26/2010,108.15,111.58,104.58,110.74,83.9913,4439171207,0,SPY
1/29/2010,112.37,115.14,107.22,107.39,81.4505,3705733018,0,SPY
12/31/2009,110.92,113.03,109.02,111.44,84.5223,2878516757,0.5902,SPY
11/30/2009,104.13,111.74,103.08,109.94,82.9404,3428177124,0,SPY
10/30/2009,103,110.31,101.99,103.56,78.1272,4478118719,0,SPY
9/30/2009,101.95,108.06,99.57,105.59,79.6587,3774712350,0.5083,SPY
8/31/2009,99.85,104.35,98.11,102.46,76.9309,3954118963,0,SPY
7/31/2009,92.34,99.83,87,98.81,74.1904,4295844600,0,SPY
6/30/2009,93.67,96.11,88.85,91.95,69.0396,5054855000,0.5182,SPY
5/29/2009,87.44,93.7,86.72,92.53,69.0862,5195735600,0,SPY
4/30/2009,78.53,89.02,78.33,87.42,65.2709,6023006600,0,SPY
3/31/2009,72.52,83.3,67.1,79.52,59.3724,8813959700,0.5614,SPY
2/27/2009,81.57,87.74,73.81,73.93,54.7977,7275092500,0,SPY
1/30/2009,90.44,94.45,80.05,82.83,61.3945,6872039400,0,SPY
12/31/2008,87.51,92.43,81.86,90.24,66.8868,6919927700,0.7193,SPY
11/28/2008,96.78,100.86,74.34,90.09,66.2354,8762237000,0,SPY
10/31/2008,115.27,116.69,83.58,96.83,71.1907,11882352200,0,SPY
9/30/2008,130.03,130.71,110.53,115.99,85.2774,8105188900,0.6909,SPY
8/29/2008,127.12,131.51,124.76,128.79,94.164,4344355500,0,SPY
7/31/2008,126.52,129.16,120.02,126.83,92.7309,7156206800,0,SPY
6/30/2008,139.83,140.89,127.04,127.98,93.5718,5408930000,0.6692,SPY
5/30/2008,138.38,144.3,137.52,140.35,102.0967,3646997000,0,SPY
4/30/2008,133.61,140.59,132.33,138.26,100.5764,4014652600,0,SPY
3/31/2008,133.14,135.81,126.07,131.97,96.0008,5462121800,0.642,SPY
2/29/2008,137.94,139.61,131.73,133.82,96.8757,4151028600,0,SPY
1/31/2008,146.53,146.99,126,137.37,99.4456,6106834300,0,SPY
12/31/2007,148.19,152.89,143.96,146.21,105.8451,3293787500,0.7754,SPY
11/30/2007,153.29,153.41,140.66,148.66,107.0583,5472709900,0,SPY
10/31/2007,152.6,157.52,148.66,154.65,111.372,3850069600,0,SPY
9/28/2007,147.45,154.39,144.33,152.58,109.8813,2967009200,0.7187,SPY
8/31/2007,145.18,150.59,137,147.59,105.7874,6195918600,0,SPY
7/31/2007,150.87,155.53,145.04,145.72,104.4471,3988676200,0,SPY
6/29/2007,153.88,154.4,148.06,150.43,107.8231,3502885400,0.6556,SPY
5/31/2007,148.42,153.89,147.67,153.32,109.4258,2508178000,0,SPY
4/30/2007,142.16,149.8,141.48,148.29,105.8359,1791289900,0,SPY
3/30/2007,139.34,143.81,136.75,142,101.3467,2918304400,0.5513,SPY
2/28/2007,144.15,146.42,139,140.93,100.1843,1494548900,0,SPY
1/31/2007,142.25,144.13,140.25,143.75,102.189,1330329900,0,SPY
12/29/2006,140.53,143.24,138.97,141.62,100.6748,1212756800,0.7926,SPY
11/30/2006,138.22,141.16,135.62,140.53,99.3467,1502059900,0,SPY
10/31/2006,133.54,139,132.65,137.79,97.4097,1443344100,0,SPY
9/29/2006,131.14,133.99,129.35,133.58,94.4335,1363687900,0.5793,SPY
8/31/2006,127.34,131.04,126.28,130.64,91.9514,1420345400,0,SPY
