date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
7/29/2022,46.4,50.9,45.7,50.82,48.929,0.093373258,12772640,0,SPTM
6/30/2022,51.23,51.51,44.87,46.48,44.7505,-0.083524306,16173785,0.2038,SPTM
5/31/2022,50.79,52.969,46.95,50.94,48.8289,0.002558296,20517792,0,SPTM
4/29/2022,55.79,56.28,50.685,50.81,48.7043,-0.085821918,11448192,0,SPTM
3/31/2022,53.71,56.89,51.22,55.58,53.2766,0.035031686,17179575,0.1745,SPTM
2/28/2022,55.44,56.325,50.56,53.87,51.4734,-0.025859295,14904708,0,SPTM
1/31/2022,58.65,59.0799,51.82,55.3,52.8398,-0.053892859,15860113,0,SPTM
12/31/2021,56.82,58.95,55.27,58.45,55.8497,0.045234473,10747778,0.2094,SPTM
11/30/2021,56.73,58.42,56.0251,56.13,53.4327,-0.007953792,6544484,0,SPTM
10/29/2021,53.24,56.6296,52.69,56.58,53.8611,0.067748931,7218940,0,SPTM
9/30/2021,55.82,55.98,52.855,52.99,50.4436,-0.04498511,6801281,0.1868,SPTM
8/31/2021,54.38,55.87,53.6601,55.68,52.8197,0.029395027,5682037,0,SPTM
7/30/2021,53.08,54.515,51.9914,54.09,51.3114,0.021144741,6443713,0,SPTM
6/30/2021,52.38,53.035,51.47,52.97,50.2489,0.020286377,7021914,0.1736,SPTM
5/28/2021,51.96,52.44,50.1693,52.09,49.2498,0.008322533,7371312,0,SPTM
4/30/2021,49.48,52.199,49.44,51.66,48.8433,0.050215125,8342361,0,SPTM
3/31/2021,47.92,49.54,46.17,49.19,46.5079,0.044459466,8313080,0.1592,SPTM
2/26/2021,46.26,48.8879,45.9303,47.25,44.5282,0.032334496,6484705,0,SPTM
1/29/2021,46.29,47.7501,44.989,45.77,43.1335,-0.006943693,10114267,0,SPTM
12/31/2020,44.97,46.17,44.66,46.09,43.4351,0.040154891,12683296,0.204,SPTM
11/30/2020,40.45,44.82,40.115,44.51,41.7583,0.113863578,7693291,0,SPTM
10/30/2020,41.23,43.2835,39.55,39.96,37.4896,-0.022743802,10159493,0,SPTM
9/30/2020,42.73,43.74,39.03,40.89,38.3621,-0.037639385,9108971,0.1416,SPTM
8/31/2020,40.13,42.84,40.065,42.64,39.8625,0.068404703,8107389,0,SPTM
7/31/2020,37.89,40.01,37.79,39.91,37.3103,0.056380418,14394408,0,SPTM
6/30/2020,37.07,39.74,36.31,37.78,35.319,0.020438235,10964749,0.1713,SPTM
5/29/2020,34.82,37.59,33.61,37.19,34.6116,0.047607805,12879418,0,SPTM
4/30/2020,30.34,36.09,29.73,35.5,33.0387,0.128775688,18321771,0,SPTM
3/31/2020,36.79,38.68,26.6,31.45,29.2695,-0.131667245,39055986,0.2031,SPTM
2/28/2020,39.95,41.89,35.29,36.49,33.7077,-0.0827038,28198081,0,SPTM
1/31/2020,40.09,41.2,39.66,39.78,36.7468,-0.002007023,9901747,0,SPTM
12/31/2019,39.03,40.14,38.06,39.86,36.8207,0.028585875,8656574,0.2031,SPTM
11/29/2019,37.71,39.13,37.71,38.95,35.7974,0.037560686,6793595,0,SPTM
10/31/2019,36.86,37.69,35.24,37.54,34.5015,0.021773188,9294725,0,SPTM
9/30/2019,36.02,37.49,35.82,36.74,33.7663,0.018164329,7704908,0.1592,SPTM
8/30/2019,37.05,37.42,34.97,36.24,33.1639,-0.020540825,12262082,0,SPTM
7/31/2019,36.93,37.56,36.61,37,33.8594,0.01481184,7511085,0,SPTM
6/28/2019,34.23,36.85,33.97,36.46,33.3652,0.070206951,9082535,0.1735,SPTM
5/31/2019,36.7,36.71,34.19,34.23,31.1764,-0.064243865,10515401,0,SPTM
4/30/2019,35.45,36.64,35.4,36.58,33.3168,0.039795017,8524530,0,SPTM
3/29/2019,35.08,35.49,33.96,35.18,32.0417,0.014318094,10073327,0.1481,SPTM
2/28/2019,33.67,35.18,33.44,34.83,31.5894,0.035989768,10646354,0,SPTM
1/31/2019,30.43,33.67,30.14,33.62,30.492,0.087675367,16926616,0,SPTM
12/31/2018,34.74,34.74,28.88,30.91,28.0341,-0.087321715,28180213,0.1513,SPTM
11/30/2018,33.67,34.88,32.55,34.04,30.7163,0.014606545,14901501,0,SPTM
10/31/2018,36.4,36.45,32.23,33.55,30.2741,-0.0732059,15411219,0,SPTM
9/28/2018,36.28,36.63,35.85,36.2,32.6654,0.002024577,11777234,0.1844,SPTM
8/31/2018,35.13,36.46,34.88,36.31,32.5994,0.034770188,9314379,0,SPTM
7/31/2018,33.8,35.48,33.76,35.09,31.504,0.032362926,15852282,0,SPTM
6/29/2018,34.13,35,33.64,33.99,30.5164,0.005661633,16758637,0.1247,SPTM
5/31/2018,32.92,34.29,32.37,33.92,30.3446,0.027877893,10769355,0,SPTM
4/30/2018,32.68,33.82,31.75,33,29.5216,0.005483539,19127601,0,SPTM
3/29/2018,33.6,34.78,32.15,32.82,29.3606,-0.018434073,9516726,0.126,SPTM
2/28/2018,34.78,35.02,31.39,33.56,29.912,-0.038672293,8600134,0,SPTM
1/31/2018,33.41,35.46,33.28,34.91,31.1153,0.051189016,17261028,0,SPTM
12/29/2017,32.99,33.45,32.44,33.21,29.6001,0.01114994,9370080,0.1674,SPTM
11/30/2017,32.13,33.1,31.72,33.01,29.2737,0.031239762,5842680,0,SPTM
10/31/2017,188.05,190.8499,31.6197,32.01,28.3869,0.022137325,1947002,0,SPTM
9/29/2017,184.65,187.9,182.8692,187.9,27.7721,0.024358487,434032,0.7566,SPTM
8/31/2017,184.56,185.2675,179.66,184.18,27.1117,0.001714372,437920,0,SPTM
7/31/2017,181.28,185.3,179.35,183.865,27.0653,0.016896106,179227,0,SPTM
6/30/2017,180.88,183.28,179.76,180.81,26.6156,0.010087363,105787,0.824,SPTM
5/31/2017,178.5184,181.14,175.889,179.82,26.3498,0.01004688,146728,0,SPTM
4/28/2017,176.34,181.15,173.742,178.031,26.0877,0.009933762,104025,0,SPTM
3/31/2017,178.75,181.41,173.1549,176.28,25.8311,0.00153539,333587,0.7156,SPTM
